Date,SPY,GLD
2019-10-09,284.53143310546875,142.0500030517578
2019-10-10,286.455810546875,140.80999755859375
2019-10-11,289.42547607421875,140.02999877929688
2019-10-14,289.1031188964844,140.58999633789062
2019-10-15,291.96533203125,139.61000061035156
2019-10-16,291.4964599609375,140.41000366210938
2019-10-17,292.3560791015625,140.61000061035156
2019-10-18,291.0763854980469,140.4600067138672
2019-10-21,293.04962158203125,139.7899932861328
2019-10-22,292.0923156738281,140.1999969482422
2019-10-23,292.9422302246094,140.52999877929688
2019-10-24,293.4208984375,141.52999877929688
2019-10-25,294.6224060058594,141.86000061035156
2019-10-28,296.2830505371094,140.63999938964844
2019-10-29,296.1951599121094,140.25
2019-10-30,297.1036682128906,141.02000427246094
2019-10-31,296.3123779296875,142.42999267578125
2019-11-01,299.0574035644531,142.55999755859375
2019-11-04,300.2589111328125,142.14999389648438
2019-11-05,299.9267883300781,139.85000610351562
2019-11-06,299.9951477050781,140.4499969482422
2019-11-07,301.0501708984375,138.27000427246094
2019-11-08,301.7926330566406,137.38999938964844
2019-11-11,301.2162780761719,137.05999755859375
2019-11-12,301.8511657714844,137.42999267578125
2019-11-13,301.94891357421875,137.97999572753906
2019-11-14,302.3884582519531,138.55999755859375
2019-11-15,304.5766906738281,138.2100067138672
2019-11-18,304.80133056640625,138.6199951171875
2019-11-19,304.7134094238281,138.69000244140625
2019-11-20,303.5802917480469,138.75999450683594
2019-11-21,303.0918273925781,138.0
2019-11-22,303.765869140625,137.74000549316406
2019-11-25,306.1201171875,137.0800018310547
2019-11-26,306.8136901855469,137.74000549316406
2019-11-27,308.18133544921875,137.00999450683594
2019-11-29,307.0383605957031,137.86000061035156
2019-12-02,304.4301452636719,137.7899932861328
2019-12-03,302.3884582519531,139.11000061035156
2019-12-04,304.2542724609375,138.9199981689453
2019-12-05,304.80133056640625,139.0
2019-12-06,307.5854187011719,137.6199951171875
2019-12-09,306.6182861328125,137.5800018310547
2019-12-10,306.2763671875,137.97000122070312
2019-12-11,307.14581298828125,138.9199981689453
2019-12-12,309.7931213378906,138.42999267578125
2019-12-13,309.9787292480469,139.0500030517578
2019-12-16,312.1082763671875,139.0399932861328
2019-12-17,312.17669677734375,139.00999450683594
2019-12-18,312.19622802734375,139.02000427246094
2019-12-19,313.4759216308594,139.3800048828125
2019-12-20,314.8502502441406,139.52000427246094
2019-12-23,315.3312683105469,139.9499969482422
2019-12-24,315.3410949707031,141.27000427246094
2019-12-26,317.01971435546875,142.3800048828125
2019-12-27,316.941162109375,142.3300018310547
2019-12-30,315.1938171386719,142.6300048828125
2019-12-31,315.9595031738281,142.89999389648438
2020-01-02,318.914306640625,143.9499969482422
2020-01-03,316.49945068359375,145.86000061035156
2020-01-06,317.7069091796875,147.38999938964844
2020-01-07,316.8135681152344,147.97000122070312
2020-01-08,318.5020751953125,146.86000061035156
2020-01-09,320.66168212890625,146.02999877929688
2020-01-10,319.7389221191406,146.91000366210938
2020-01-13,321.9378662109375,145.82000732421875
2020-01-14,321.4470520019531,145.69000244140625
2020-01-15,322.1734619140625,146.5399932861328
2020-01-16,324.8534240722656,146.30999755859375
2020-01-17,325.8645935058594,146.5800018310547
2020-01-21,325.2264709472656,146.74000549316406
2020-01-22,325.2657165527344,146.7899932861328
2020-01-23,325.6387634277344,147.1199951171875
2020-01-24,322.7428283691406,147.97999572753906
2020-01-27,317.5694580078125,148.99000549316406
2020-01-28,320.8973083496094,147.66000366210938
2020-01-29,320.6322326660156,148.4600067138672
2020-01-30,321.6728210449219,148.47000122070312
2020-01-31,315.8319091796875,149.3300018310547
2020-02-03,318.1781005859375,148.36000061035156
2020-02-04,323.0274963378906,146.42999267578125
2020-02-05,326.7578430175781,146.61000061035156
2020-02-06,327.8573303222656,147.39999389648438
2020-02-07,326.1099548339844,147.7899932861328
2020-02-10,328.54449462890625,148.1699981689453
2020-02-11,329.1138610839844,147.66000366210938
2020-02-12,331.2342834472656,147.5399932861328
2020-02-13,330.880859375,148.3800048828125
2020-02-14,331.4109802246094,149.0
2020-02-18,330.5569152832031,150.91000366210938
2020-02-19,332.1373596191406,151.7899932861328
2020-02-20,330.7729187011719,152.41000366210938
2020-02-21,327.36651611328125,154.6999969482422
2020-02-24,316.5092468261719,156.08999633789062
2020-02-25,306.9183349609375,153.3000030517578
2020-02-26,305.7894592285156,153.97000122070312
2020-02-27,292.0559387207031,154.0
2020-02-28,290.8288269042969,148.3800048828125
2020-03-02,303.423583984375,149.1999969482422
2020-03-03,294.7358703613281,153.88999938964844
2020-03-04,307.1244812011719,154.16000366210938
2020-03-05,296.9151611328125,157.49000549316406
2020-03-06,292.0068359375,157.5500030517578
2020-03-09,269.20269775390625,157.80999755859375
2020-03-10,283.132568359375,154.47999572753906
2020-03-11,269.330322265625,153.92999267578125
2020-03-12,243.56153869628906,147.7899932861328
2020-03-13,264.3826904296875,143.27999877929688
2020-03-16,235.45297241210938,141.63999938964844
2020-03-17,248.16555786132812,143.55999755859375
2020-03-18,235.60020446777344,140.6999969482422
2020-03-19,236.10084533691406,138.0399932861328
2020-03-20,225.92628479003906,140.11000061035156
2020-03-23,220.14974975585938,146.3000030517578
2020-03-24,240.09603881835938,153.39999389648438
2020-03-25,243.69032287597656,151.3000030517578
2020-03-26,257.9193420410156,153.24000549316406
2020-03-27,250.23704528808594,152.25
2020-03-30,258.3636779785156,152.9199981689453
2020-03-31,254.51268005371094,148.0500030517578
2020-04-01,243.05836486816406,149.4499969482422
2020-04-02,248.6670379638672,151.89999389648438
2020-04-03,245.07275390625,152.64999389648438
2020-04-06,261.5333557128906,156.8800048828125
2020-04-07,261.79998779296875,156.0399932861328
2020-04-08,270.58819580078125,154.64999389648438
2020-04-09,274.705810546875,158.69000244140625
2020-04-13,272.1977233886719,161.41000366210938
2020-04-14,280.2256164550781,162.67999267578125
2020-04-15,274.2713623046875,161.85000610351562
2020-04-16,275.5945129394531,161.7100067138672
2020-04-17,283.039794921875,158.57000732421875
2020-04-20,278.05322265625,159.6999969482422
2020-04-21,269.6106262207031,158.61000061035156
2020-04-22,275.5945129394531,161.72999572753906
2020-04-23,275.5747375488281,163.33999633789062
2020-04-24,279.4159240722656,162.63999938964844
2020-04-27,283.4446716308594,161.55999755859375
2020-04-28,282.1412353515625,160.83999633789062
2020-04-29,289.52728271484375,161.72999572753906
2020-04-30,286.83160400390625,158.8000030517578
2020-05-01,279.2381591796875,159.77999877929688
2020-05-04,280.0083923339844,160.33999633789062
2020-05-05,282.595458984375,161.02000427246094
2020-05-06,280.6798400878906,158.9499969482422
2020-05-07,284.0667419433594,161.38999938964844
2020-05-08,288.7669677734375,160.4199981689453
